Year,Player,Position,Team,Salary,Length of Contract,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_1,PER,TS%,eFG%,FTr,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
2012-2013,Blake Griffin,Forward,Los Angeles Clippers,"$18,668,431",5,23,80,80,32.5,7.2,13.4,0.538,0.1,0.4,0.179,7.2,13.1,0.548,3.5,5.3,0.66,2.3,6,8.3,3.7,1.2,0.6,2.3,2.9,18,2598,22.4,0.572,0.541,0.397,0.026,8.7,21.5,15.2,19.9,2,1.6,12.8,25.4,114,102,6.8,3.9,10.6,0.196
2012-2013,Chris Paul,Guard,Los Angeles Clippers,"$16,441,500",5,27,70,70,33.4,5.9,12.2,0.481,1.1,3.3,0.328,4.8,8.9,0.538,4.1,4.6,0.885,0.8,3,3.7,9.7,2.4,0.1,2.3,2,16.9,2335,26.4,0.594,0.526,0.377,0.271,2.8,10.5,6.7,46.5,3.8,0.4,13.7,22.6,127,102,10.6,3.4,13.9,0.287
2012-2013,JJ Redick,Guard,Los Angeles Clippers,"$10,079,404",4,28,78,13,30.5,4.9,11.3,0.434,2.1,5.8,0.366,2.8,5.5,0.506,2.2,2.4,0.9,0.2,2,2.2,3.8,0.5,0.1,1.8,1.5,14.1,2379,14.7,0.571,0.528,0.216,0.513,0.8,7.3,4,20,0.8,0.3,12.5,20.8,111,113,4,0.5,4.5,0.091
2010-2011,DeAndre Jordan,Center,Los Angeles Clippers,"$6,500,000",4,22,80,66,25.6,2.9,4.3,0.686,0,0,0,2.9,4.3,0.688,1.2,2.7,0.452,2.6,4.6,7.2,0.5,0.5,1.8,1.3,3.2,7.1,2047,14.8,0.648,0.686,0.636,0.003,11.9,20.9,16.5,3.2,1,5.4,18.8,11.7,116,105,2.6,2.6,5.2,0.122
2011-2012,Jamal Crawford,Guard,Los Angeles Clippers,"$5,000,000",4,31,60,6,26.9,4.7,12.3,0.384,1.3,4.3,0.308,3.4,8,0.426,3.2,3.4,0.927,0.3,1.7,2,3.2,0.9,0.2,1.9,1.2,14,1613,15.7,0.506,0.438,0.28,0.353,1.1,7.5,4.3,20.5,1.8,0.7,11.8,26.6,102,109,1.6,0.7,2.3,0.069
2010-2011,Jared Dudley,Forward,Los Angeles Clippers,"$4,250,000",5,25,82,15,26.1,3.7,7.7,0.477,1.3,3.1,0.415,2.4,4.6,0.519,2,2.7,0.743,1.4,2.5,3.9,1.3,1.1,0.2,0.9,1.7,10.6,2140,15.6,0.598,0.56,0.347,0.402,6,11.2,8.6,7.6,2.1,0.7,9.6,16.9,119,111,4.2,1.4,5.6,0.126
2012-2013,Matt Barnes,Forward,Los Angeles Clippers,"$3,250,000",3,32,80,4,25.7,3.9,8.4,0.462,1.4,4.1,0.342,2.5,4.4,0.574,1.1,1.5,0.744,1.4,3.2,4.6,1.5,1,0.8,1.1,2.9,10.3,2058,15.5,0.566,0.544,0.173,0.481,6.5,14.5,10.6,9.2,2.1,2.6,11,18.1,113,103,3.5,2.8,6.3,0.146
2012-2013,Darren Collison,Guard,Los Angeles Clippers,"$1,900,000",2,25,81,47,29.3,4.2,8.9,0.471,0.6,1.7,0.353,3.6,7.3,0.498,3,3.4,0.88,0.4,2.3,2.7,5.1,1.2,0.1,2.1,1.7,12,2372,16.3,0.575,0.504,0.38,0.188,1.5,8.7,5.1,26.8,2.2,0.3,17,19.6,111,109,4,1.7,5.6,0.114
2011-2012,Willie Green,Guard,Los Angeles Clippers,"$1,375,000",3,30,53,2,17.4,2.9,6.1,0.471,0.9,2.1,0.442,1.9,4,0.486,0.9,1.1,0.857,0.3,1.2,1.5,0.8,0.4,0.1,0.6,1.4,7.6,922,13.9,0.578,0.548,0.172,0.348,1.9,8.2,5.1,7.4,1.3,0.5,8.6,19.5,110,105,1.4,0.9,2.4,0.122
2012-2013,Byron Mullens,Forward,Los Angeles Clippers,"$947,907",2,23,53,41,26.9,4.1,10.6,0.385,1.2,3.9,0.317,2.8,6.7,0.425,1.2,1.9,0.646,1.3,5,6.4,1.5,0.6,0.6,1.4,2.1,10.6,1428,12.3,0.465,0.444,0.176,0.369,5.5,22,13.5,10.1,1.2,1.8,10.9,21.7,94,110,-0.6,0.7,0.1,0.005
2012-2013,Ryan Hollins,Center,Los Angeles Clippers,"$1,186,459",1,28,60,0,11.1,1.2,1.9,0.614,0,0,0,1.2,1.9,0.614,1.1,1.5,0.75,0.8,1.5,2.3,0.2,0.1,0.6,0.7,2.2,3.4,663,11.3,0.674,0.614,0.772,0,9.1,15.7,12.5,2.4,0.5,4.3,22.4,13.6,115,105,1,0.8,1.7,0.125
2012-2013,Antawn Jamison,Forward,Los Angeles Clippers,"$1,399,507",1,36,76,6,21.5,3.5,7.6,0.464,1.1,3.1,0.361,2.4,4.5,0.535,1.2,1.8,0.691,1.4,3.3,4.8,0.7,0.4,0.3,0.7,1.6,9.4,1636,15.3,0.561,0.537,0.237,0.405,7.5,16.6,12.2,5,0.9,1,7.7,18.7,114,108,3,1.3,4.3,0.126
2009-2010,Andrew Bogut,Center,Golden State Warriors,"$10,000,000",5,25,69,69,32.3,6.9,13.2,0.52,0,0,0,6.9,13.2,0.521,2.2,3.4,0.629,3,7.1,10.2,1.8,0.6,2.5,1.9,3.2,15.9,2229,20.7,0.54,0.52,0.26,0.002,10.1,26.4,17.9,10.3,0.9,6.2,11.4,23.3,107,98,2.6,4.8,7.5,0.161
2009-2010,David Lee,Center,Golden State Warriors,"$10,800,000",6,26,81,81,37.3,8.5,15.5,0.545,0,0.1,0,8.5,15.4,0.549,3.3,4.1,0.812,2.8,8.9,11.7,3.6,1,0.5,2.3,3.2,20.2,3019,22.2,0.584,0.545,0.262,0.006,8.4,27.6,17.9,17.5,1.4,1,11.9,23.8,116,108,7.4,2.9,10.3,0.163
2012-2013,Andre Iguodala,Guard,Golden State Warriors,"$12,868,632",4,29,80,80,34.7,5,11,0.451,1.1,3.6,0.317,3.8,7.4,0.515,1.9,3.4,0.574,1,4.3,5.3,5.4,1.7,0.7,2.6,1.6,13,2779,15.2,0.52,0.502,0.307,0.327,3.4,13.5,8.5,22.4,2.5,1.5,17.1,18.8,105,105,2.4,3.2,5.6,0.097
